Date,Open,High,Low,Close,Adj Close,Volume
1988-12-01,6.812500,6.812500,6.270833,6.583333,3.024393,94162200
1989-01-01,6.583333,6.854167,6.291667,6.791667,3.137161,94891800
1989-02-01,6.750000,6.916667,6.500000,6.666667,3.079421,64924200
1989-03-01,6.729167,7.416667,6.645833,7.416667,3.425854,90967800
1989-04-01,7.395833,7.937500,7.354167,7.937500,3.685486,76909200
1989-05-01,7.916667,9.041667,7.895833,9.020833,4.188492,97374600
1989-06-01,9.000000,9.437500,8.520833,8.875000,4.120779,81565200
1989-07-01,8.854167,10.354167,8.687500,10.354167,4.829528,72543600
1989-08-01,10.312500,10.395833,9.479167,9.833333,4.586590,90161400
1989-09-01,9.833333,9.937500,9.187500,9.812500,4.576879,70527000
1989-10-01,9.770833,10.354167,8.979167,10.333333,4.840321,84387600
1989-11-01,10.270833,10.875000,9.895833,10.583333,4.957427,56536200
1989-12-01,10.645833,10.979167,10.166667,10.666667,4.996462,56111400
1990-01-01,10.666667,10.770833,9.000000,9.583333,4.506507,85749000
1990-02-01,9.583333,10.083333,9.354167,9.750000,4.584884,63050400
1990-03-01,9.708333,10.687500,9.416667,10.437500,4.908174,84162000
1990-04-01,10.312500,11.416667,10.291667,11.041667,5.215207,67071600
1990-05-01,11.187500,12.395833,10.937500,12.312500,5.815446,76986600
1990-06-01,12.416667,13.041667,12.000000,12.937500,6.110650,70145400
1990-07-01,12.895833,13.916667,12.750000,12.833333,6.085793,77839800
1990-08-01,12.833333,13.166667,10.875000,12.520833,5.937597,117313800
1990-09-01,12.291667,12.937500,10.500000,11.500000,5.453499,63579800
1990-10-01,11.562500,12.750000,11.062500,12.000000,5.713237,68943200
1990-11-01,12.000000,13.250000,11.562500,12.812500,6.100070,54994400
1990-12-01,12.937500,13.937500,12.750000,13.000000,6.189337,46912600
1991-01-01,13.125000,14.000000,11.750000,13.750000,6.571096,65716600
1991-02-01,13.625000,17.562500,13.250000,16.375000,7.825575,82425600
1991-03-01,15.875000,17.375000,15.562500,17.125000,8.184003,70618200
1991-04-01,17.000000,17.812500,14.750000,15.937500,7.639648,88128400
1991-05-01,16.000000,16.625000,15.375000,15.687500,7.519806,78069400
1991-06-01,15.562500,15.750000,13.875000,14.500000,6.950582,116549000
1991-07-01,14.687500,16.062500,14.062500,15.937500,7.669579,96491400
1991-08-01,15.875000,16.750000,14.937500,16.187500,7.789882,70790600
1991-09-01,16.187500,16.187500,14.000000,14.250000,6.857503,105258600
